category,rating,name,state
Fishing & Hunting,4.2,Eng Kwang Temerloh,Pahang
Gyms & Studios,4.6,Level Up Fitness Xpress AEON Kuching Central (24-Hour Gym),Sarawak
Gyms & Studios,4.5,Vo2 Energym,Johor
Recreation Centers,4.2,Kompleks Belia Dan Sukan Negeri Sembilan,Negeri Sembilan
Recreation Centers,4.1,Kudat Sports Complex,Sabah
Gyms & Studios,4.0,Anytime Fitness Impiria Bukit Tinggi,Selangor
Fishing & Hunting,4.3,TCE Tackles Sdn Bhd,Kedah
Recreation Centers,4.0,Rally Melaka,Melaka
Recreation Centers,4.1,Frenzy Sports Arena,Selangor
Gyms & Studios,4.7,CrossFit Pahlawan,Selangor
Fishing & Hunting,4.1,TFC FISHING TACKLE SDN BHD,Pahang
Golf & Driving Ranges,4.0,Puncak Alam Golf Driving Range,Selangor
Team Sports & Fields,4.4,JSA Arena,Selangor
Gyms & Studios,4.8,The LOFT Fitness,Melaka
Racquet & Club Sports,4.3,Akademi Tenis Johor (Nusa Duta Tennis Complex),Johor
Other Outdoor & Lawn Sports,4.1,Sport 100 Badminton Center,Selangor
Fishing & Hunting,4.3,ANGLERS' TACKLES,Sarawak
Gyms & Studios,4.7,The Olympic Gym,Other
Golf & Driving Ranges,3.8,UniPutra Golf Club,Selangor
Recreation Centers,4.3,The Challenger Sport Centre AMPANG (Book with AFA app),Selangor
Fishing & Hunting,3.6,Sanwa Aquatics (KL) Sdn Bhd (Strictly on Wholesale Only),Selangor
Golf & Driving Ranges,4.4,The Mines Resort & Golf Club,Selangor
Golf & Driving Ranges,4.1,Tiara Melaka Golf & Country Club,Melaka
Ball Sports,4.4,De Stadium Futsal KB (wakaf bharu),Kelantan
Gyms & Studios,4.6,Workout Station,Perak
Other Outdoor & Lawn Sports,4.2,Haslina Badminton Hall,Kelantan
Fishing & Hunting,4.5,Fymac Fishing Tackle,Johor
Gyms & Studios,4.5,Iron Fitness & Gym,Kuala Lumpur
Gyms & Studios,3.8,Fitness First Gym - NU Empire,Selangor
Gyms & Studios,4.8,Fuel Athletics,Kuala Lumpur
Other Outdoor & Lawn Sports,4.0,Michael's Badminton Academy @ Bukit Puchong,Selangor
